晚餐时段人流密集，顾客以年轻人为主，辣椒与牛油香味十足，店内红色灯笼与木质格栅交错，客人们在火锅前热闹地交谈。,this is a somber song with a tempo of 141 BPM. The track runs 4 minutes and 42 seconds long with a F key and a major mode. It has high energy and is somewhat danceable with a time signature of 4 beats per bar. genre is pop.
晚餐时段人流密集，顾客以年轻人为主，辣椒与牛油香味十足，店内红色灯笼与木质格栅交错，客人们在火锅前热闹地交谈。,this is a somber song with a tempo of 76 BPM. The track runs 4 minutes and 35 seconds long with a C key and a major mode. It has average energy and is somewhat danceable with a time signature of 4 beats per bar . genre is rock and pop.
晚餐时段人流密集，顾客以年轻人为主，辣椒与牛油香味十足，店内红色灯笼与木质格栅交错，客人们在火锅前热闹地交谈。,this is a somber song with a tempo of 113 BPM. The track runs 4 minutes and 26 seconds long with a C key and a minor mode. It has low energy and is somewhat danceable with a time signature of 4 beats per bar . genre is pop.
晚餐时段人流密集，顾客以年轻人为主，辣椒与牛油香味十足，店内红色灯笼与木质格栅交错，客人们在火锅前热闹地交谈。,this is a song with a tempo of 164 BPM. The track runs 3 minutes and 8 seconds long with a A♯/B♭ key and a major mode. It has low energy and is very danceable with a time signature of 4 beats per bar . genre is pop.
午餐时段人流适中，多为周边上班族，光线柔和，使用木质桌椅，配鸳鸯锅为主。,this is a somber song with a tempo of 140 BPM. The track runs 4 minutes and 19 seconds long with a B key and a major mode. It has average energy and is somewhat danceable with a time signature of 4 beats per bar . genre is r&b and pop.
午餐时段人流适中，多为周边上班族，光线柔和，使用木质桌椅，配鸳鸯锅为主。,this is a melancholic song with a tempo of 103 BPM. The track runs 2 minutes long with a F key and a major mode. It has low energy and is somewhat danceable with a time signature of 4 beats per bar . genre is original sound track.
午餐时段人流适中，多为周边上班族，光线柔和，使用木质桌椅，配鸳鸯锅为主。,this is a melancholic song with a tempo of 80 BPM. The track runs 5 minutes and 51 seconds long with a C key and a major mode. It has low energy and is somewhat danceable with a time signature of 4 beats per bar .
晚餐时段店里人声鼎沸，装潢偏现代工业风，配有LED灯带和自助调料台，适合年轻人聚会畅饮。,this is a somber song with a tempo of 140 BPM. The track runs 4 minutes and 33 seconds long with a A♯/B♭ key and a minor mode. It has low energy and is somewhat danceable with a time signature of 4 beats per bar . genre is chinese opera voice.
晚餐时段店里人声鼎沸，装潢偏现代工业风，配有LED灯带和自助调料台，适合年轻人聚会畅饮。,this is a upbeat song with a tempo of 152 BPM. The track runs 4 minutes and 58 seconds long with a D♯/E♭ key and a minor mode. It has high energy and is somewhat danceable with a time signature of 4 beats per bar .
晚餐时段店里人声鼎沸，装潢偏现代工业风，配有LED灯带和自助调料台，适合年轻人聚会畅饮。,this is a song  with a tempo of 158 BPM. The track runs 3 minutes and 36 seconds long with a A key and a major mode. It has high energy and is somewhat danceable with a time signature of 4 beats per bar .
工作日晚餐时间，桌上摆着精致的粤式拼盘与果盘。灯光偏暗，包间隔音良好，商务人士较多。,this is a somber song with a tempo of 140 BPM. The track runs 3 minutes and 33 seconds long with a F♯/G♭ key and a minor mode. It has average energy and is very danceable with a time signature of 4 beats per bar .
工作日晚餐时间，桌上摆着精致的粤式拼盘与果盘。灯光偏暗，包间隔音良好，商务人士较多。,this is a melancholic song with a tempo of 75 BPM. The track runs 3 minutes and 13 seconds long with a F key and a major mode. It has low energy and is not very danceable with a time signature of 4 beats per bar . genre is light music.
工作日晚餐时间，桌上摆着精致的粤式拼盘与果盘。灯光偏暗，包间隔音良好，商务人士较多。,this is a melancholic song with a tempo of 177 BPM. The track runs 3 minutes and 50 seconds long with a C key and a minor mode. It has low energy and is somewhat danceable with a time signature of 4 beats per bar .
午餐时，餐厅里座无虚席，客户多为家庭与上班族，提供多种中式热菜与例汤 。室内装饰以红木家具与水墨山水画为主。,this is a somber song with a tempo of 180 BPM. The track runs 3 minutes and 21 seconds long with a E key and a minor mode. It has average energy and is somewhat danceable with a time signature of 4 beats per bar .
午餐时，餐厅里座无虚席，客户多为家庭与上班族，提供多种中式热菜与例汤 。室内装饰以红木家具与水墨山水画为主。,this is a song with a tempo of 132 BPM. The track runs 3 minutes and 46 seconds long with a D key and a major mode. It has high energy and is somewhat danceable with a time signature of 4 beats per bar . genre is pop and rock.
午餐时，餐厅里座无虚席，客户多为家庭与上班族，提供多种中式热菜与例汤 。室内装饰以红木家具与水墨山水画为主。,this is a somber song with a tempo of 130 BPM. The track runs 4 minutes and 24 seconds long with a B key and a major mode. It has low energy and is very danceable with a time signature of 4 beats per bar . genre is r&b.
晚餐时间段顾客较多，特别是周末，餐厅设有多个包间，主要提供热菜，粤菜较多。,this is a somber song with a tempo of 128 BPM. The track runs 3 minutes and 57 seconds long with a C key and a major mode. It has high energy and is very danceable with a time signature of 4 beats per bar . genre is original sound track.
晚餐时间段顾客较多，特别是周末，餐厅设有多个包间，主要提供热菜，粤菜较多。,this is a exuberant song with a tempo of 95 BPM. The track runs 4 minutes and 33 seconds long with a F♯/G♭ key and a minor mode. It has high energy and is very danceable with a time signature of 4 beats per bar .
晚餐时间段顾客较多，特别是周末，餐厅设有多个包间，主要提供热菜，粤菜较多。,this is a melancholic song with a tempo of 77 BPM. The track runs 3 minutes and 19 seconds long with a D♯/E♭ key and a minor mode. It has low energy and is not very danceable with a time signature of 4 beats per bar .
晚餐时间段顾客较多，特别是周末，餐厅设有多个包间，主要提供热菜，粤菜较多。,this is a exuberant song with a tempo of 154 BPM. The track runs 4 minutes and 56 seconds long with a D key and a major mode. It has high energy and is very danceable with a time signature of 4 beats per bar . genre is r&b.
